epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.68818,1.98172,4.01307,1.67995,0.61774,0.03704,0.15944,0.08516,1.60953,3.29394,1.4252,0.000273756,0.000273756,0.000273756
2,16.8497,1.60378,2.66626,1.38887,0.308,0.30767,0.27966,0.15919,1.4262,2.66193,1.33394,0.000540504,0.000540504,0.000540504
3,23.762,1.51981,2.19564,1.35231,0.37748,0.61661,0.46623,0.26231,1.44693,2.22789,1.45806,0.000796257,0.000796257,0.000796257
4,30.7331,1.48705,2.02864,1.34373,0.52782,0.72883,0.58467,0.33234,1.44143,1.74083,1.37049,0.00078352,0.00078352,0.00078352
5,37.5792,1.41507,1.8203,1.30064,0.5312,0.81319,0.61037,0.35696,1.42986,1.69289,1.33365,0.000767026,0.000767026,0.000767026
6,44.4835,1.40201,1.70941,1.29596,0.57385,0.64951,0.64681,0.38398,1.37416,1.70946,1.35883,0.000750533,0.000750533,0.000750533
7,51.2816,1.35356,1.59875,1.27325,0.60827,0.75092,0.73918,0.44343,1.27836,1.33198,1.2506,0.00073404,0.00073404,0.00073404
8,58.2199,1.28672,1.46934,1.2379,0.72294,0.8164,0.82743,0.53827,1.17721,1.16564,1.22054,0.000717546,0.000717546,0.000717546
9,65.0824,1.27768,1.42928,1.22318,0.68894,0.86568,0.82784,0.53851,1.22026,1.17353,1.21691,0.000701053,0.000701053,0.000701053
10,71.9476,1.25836,1.34263,1.21057,0.75107,0.84091,0.82852,0.54556,1.18239,1.08016,1.20581,0.000684559,0.000684559,0.000684559
11,78.7543,1.24446,1.27895,1.19485,0.82083,0.81646,0.85966,0.57339,1.20209,1.08934,1.21663,0.000668066,0.000668066,0.000668066
12,85.4913,1.20695,1.25757,1.18789,0.83138,0.83356,0.87655,0.59431,1.10257,1.01294,1.15286,0.000651573,0.000651573,0.000651573
13,92.3665,1.20149,1.18926,1.17177,0.8179,0.82811,0.88413,0.56465,1.1745,1.05038,1.2403,0.000635079,0.000635079,0.000635079
14,99.2227,1.15167,1.11835,1.15475,0.86947,0.83868,0.89736,0.60863,1.14264,0.92064,1.14537,0.000618586,0.000618586,0.000618586
15,106.015,1.15735,1.09637,1.14971,0.84885,0.84255,0.90634,0.63512,1.07792,0.93506,1.13997,0.000602092,0.000602092,0.000602092
16,112.969,1.13007,1.06726,1.13309,0.88338,0.90353,0.9241,0.63956,1.07862,0.83792,1.15195,0.000585599,0.000585599,0.000585599
17,119.923,1.13652,1.05714,1.13541,0.93728,0.85896,0.93865,0.66222,1.08488,0.83081,1.12008,0.000569106,0.000569106,0.000569106
